Date,Open,High,Low,Close,Volume
2021-01-31 01:00:00,34262.89000000,34342.69000000,33850.00000000,34194.00000000,4511.92852500
2021-01-31 03:00:00,34193.29000000,34238.00000000,33655.00000000,33930.21000000,4624.02965700
2021-01-31 05:00:00,33930.22000000,34127.65000000,33678.46000000,33756.39000000,3725.85837500
2021-01-31 07:00:00,33757.17000000,33857.88000000,33450.00000000,33607.98000000,4010.83030900
2021-01-31 09:00:00,33607.68000000,33832.94000000,33270.00000000,33301.70000000,5151.80117500
2021-01-31 11:00:00,33300.01000000,33784.40000000,33205.00000000,33563.23000000,4509.19222900
2021-01-31 13:00:00,33563.24000000,34220.00000000,33366.29000000,33692.92000000,6443.47421100
2021-01-31 15:00:00,33691.49000000,33735.54000000,32554.00000000,32862.66000000,9542.18440500
2021-01-31 17:00:00,32862.65000000,33077.90000000,32200.00000000,32302.31000000,8497.80965300
2021-01-31 19:00:00,32302.32000000,32926.25000000,32171.67000000,32808.80000000,7326.75661500
2021-01-31 21:00:00,32807.29000000,32931.55000000,32461.23000000,32560.73000000,5304.86836200
2021-01-31 23:00:00,32561.35000000,33255.49000000,32559.85000000,33092.98000000,5093.54686800
2021-02-01 01:00:00,33092.97000000,33560.90000000,32296.16000000,33430.29000000,8097.57561400
2021-02-01 03:00:00,33425.19000000,33830.00000000,33222.88000000,33573.97000000,6577.07342400
2021-02-01 05:00:00,33573.25000000,33943.55000000,33423.43000000,33755.40000000,5799.07470700
2021-02-01 07:00:00,33753.59000000,34427.00000000,33284.24000000,33803.97000000,9551.13778400
2021-02-01 09:00:00,33802.60000000,34717.27000000,33589.23000000,34354.47000000,10712.37832500
2021-02-01 11:00:00,34354.46000000,34539.94000000,33935.47000000,34183.33000000,8809.12954700
2021-02-01 13:00:00,34183.33000000,34460.00000000,33590.00000000,33702.25000000,10610.02329600
2021-02-01 15:00:00,33702.25000000,33866.49000000,33160.00000000,33160.17000000,6868.68330100
2021-02-01 17:00:00,33160.00000000,34100.00000000,33133.26000000,33978.31000000,5458.54146500
2021-02-01 19:00:00,33979.94000000,34072.54000000,33655.01000000,33838.13000000,3674.97790900
2021-02-01 21:00:00,33838.13000000,34039.00000000,33549.00000000,33658.67000000,3169.94750200
2021-02-01 23:00:00,33661.79000000,33789.73000000,33430.76000000,33526.37000000,3389.73400800
2021-02-02 01:00:00,33517.09000000,34161.39000000,33418.00000000,33744.71000000,5284.93238900
2021-02-02 03:00:00,33742.99000000,33876.73000000,33501.25000000,33550.32000000,3819.01083600
2021-02-02 05:00:00,33554.08000000,34100.00000000,33500.00000000,33992.83000000,4190.28784400
2021-02-02 07:00:00,33992.83000000,34400.00000000,33924.73000000,34223.38000000,6239.09815300
2021-02-02 09:00:00,34223.38000000,35668.10000000,34080.00000000,35334.04000000,13774.26893200
2021-02-02 11:00:00,35334.03000000,35434.70000000,34601.00000000,34720.15000000,8294.38981600
2021-02-02 13:00:00,34722.97000000,35200.00000000,34524.20000000,34844.73000000,5970.27932100
2021-02-02 15:00:00,34844.06000000,35151.00000000,34333.00000000,34708.47000000,6739.15518600
2021-02-02 17:00:00,34708.47000000,35175.31000000,34556.85000000,34851.47000000,6606.96686000
